Alarm ID,Raised Timestamp,Cleared Timestamp,Device Name,Device Type,Hierarchy Level,Vendor,Alarm Type,Severity,Status,Region,City
ALM001287,2025-01-01 08:02:04,,MGR-CORE01-CS01,Core,6,CISCO,INTERFACE_FLAP,MAJOR,ACTIVE,MGR,Mangalore
ALM001101,2025-01-01 10:46:50,2025-01-01 15:45:50,HBL-METRO02-NK01,Metro,7,NOKIA,PACKET_LOSS,MAJOR,CLEARED,HBL,Hubli
ALM001030,2025-01-01 16:19:43,,MYS-ACC03-ER01,Access,9,ERICSSON,PTP_SYNC_LOSS,CRITICAL,ACKNOWLEDGED,MYS,Mysore
ALM001140,2025-01-02 04:35:29,2025-01-02 10:53:29,MYS-MWRLY01-ER01,Access,9,ERICSSON,PACKET_LOSS,MAJOR,CLEARED,MYS,Mysore
ALM001158,2025-01-02 05:29:16,2025-01-02 12:35:16,BLR-AGG02-HW01,Aggregation,8,HUAWEI,INTERFACE_FLAP,MAJOR,CLEARED,BLR,Bangalore
ALM001170,2025-01-02 10:20:12,,MGR-METRO01-NK01,Metro,7,NOKIA,PTP_SYNC_LOSS,CRITICAL,ACTIVE,MGR,Mangalore
ALM001102,2025-01-03 13:05:27,2025-01-03 13:49:27,MYS-MWRLY01-ER01,Access,9,ERICSSON,HIGH_CPU,WARNING,CLEARED,MYS,Mysore
ALM001074,2025-01-03 18:33:18,,MGR-ACC01-NK01,Access,9,NOKIA,CELL_UNAVAILABLE,CRITICAL,ACTIVE,MGR,Mangalore
ALM001092,2025-01-04 13:53:56,,MGR-ACC01-NK01,Access,9,NOKIA,HIGH_CPU,WARNING,ACTIVE,MGR,Mangalore
ALM001468,2025-01-05 20:46:24,,HBL-MWRLY02-ER01,Access,9,ERICSSON,PACKET_LOSS,MAJOR,ACTIVE,HBL,Hubli
ALM001469,2025-01-05 20:49:24,,HBL-MWRLY02-ER01,Access,9,ERICSSON,INTERFACE_FLAP,MAJOR,ACTIVE,HBL,Hubli
ALM001470,2025-01-05 20:54:24,,HBL-MWRLY02-ER01,Access,9,ERICSSON,LINK_DOWN,CRITICAL,ACTIVE,HBL,Hubli
ALM001110,2025-01-06 00:38:37,,MYS-ACC05-HW01,Access,9,HUAWEI,CELL_UNAVAILABLE,CRITICAL,ACTIVE,MYS,Mysore
ALM001091,2025-01-06 03:51:20,,OLA_BLR_MYS_01,DWDM,7,NOKIA,OLA_GAIN_DEGRADE,MAJOR,ACTIVE,BACKBONE,Transit
ALM001384,2025-01-06 22:18:31,,MGR-AGG02-NK01,Aggregation,8,NOKIA,LINK_DOWN,CRITICAL,ACTIVE,MGR,Mangalore
ALM001385,2025-01-06 22:20:31,,HBL-ACC05-ER01,Access,9,ERICSSON,PTP_SYNC_LOSS,CRITICAL,ACTIVE,HBL,Hubli
ALM001386,2025-01-06 22:20:31,,MYS-ACC01-HW01,Access,9,HUAWEI,PTP_SYNC_LOSS,CRITICAL,ACTIVE,MYS,Mysore
ALM001387,2025-01-06 22:20:31,,HBL-ACC04-NK01,Access,9,NOKIA,PTP_SYNC_LOSS,CRITICAL,ACTIVE,HBL,Hubli
ALM001388,2025-01-06 22:20:31,,BLR-ACC02-HW01,Access,9,HUAWEI,PTP_SYNC_LOSS,CRITICAL,ACTIVE,BLR,Bangalore
ALM001389,2025-01-06 22:23:31,,HBL-ACC05-ER01,Access,9,ERICSSON,CELL_UNAVAILABLE,CRITICAL,ACTIVE,HBL,Hubli
ALM001390,2025-01-06 22:23:31,,HBL-ACC05-ER01,Access,9,ERICSSON,DU_UNREACHABLE,CRITICAL,ACTIVE,HBL,Hubli
ALM001391,2025-01-06 22:23:31,,MYS-ACC01-HW01,Access,9,HUAWEI,CELL_UNAVAILABLE,CRITICAL,ACTIVE,MYS,Mysore
ALM001392,2025-01-06 22:23:31,,MYS-ACC01-HW01,Access,9,HUAWEI,DU_UNREACHABLE,CRITICAL,ACTIVE,MYS,Mysore
ALM001393,2025-01-06 22:23:31,,HBL-ACC04-NK01,Access,9,NOKIA,CELL_UNAVAILABLE,CRITICAL,ACTIVE,HBL,Hubli
ALM001394,2025-01-06 22:23:31,,HBL-ACC04-NK01,Access,9,NOKIA,DU_UNREACHABLE,CRITICAL,ACTIVE,HBL,Hubli
ALM001395,2025-01-06 22:23:31,,BLR-ACC02-HW01,Access,9,HUAWEI,CELL_UNAVAILABLE,CRITICAL,ACTIVE,BLR,Bangalore
ALM001396,2025-01-06 22:23:31,,BLR-ACC02-HW01,Access,9,HUAWEI,DU_UNREACHABLE,CRITICAL,ACTIVE,BLR,Bangalore
ALM001130,2025-01-06 23:52:02,,HBL-AGG01-HW01,Aggregation,8,HUAWEI,INTERFACE_FLAP,MAJOR,ACTIVE,HBL,Hubli
ALM001471,2025-01-07 09:52:54,,MGR-MWRLY01-ER01,Access,9,ERICSSON,PACKET_LOSS,MAJOR,ACTIVE,MGR,Mangalore
ALM001472,2025-01-07 09:55:54,,MGR-MWRLY01-ER01,Access,9,ERICSSON,INTERFACE_FLAP,MAJOR,ACTIVE,MGR,Mangalore
ALM001473,2025-01-07 10:00:54,,MGR-MWRLY01-ER01,Access,9,ERICSSON,LINK_DOWN,CRITICAL,ACTIVE,MGR,Mangalore
ALM001228,2025-01-08 02:52:37,2025-01-08 07:21:37,MYS-MWRLY01-ER01,Access,9,ERICSSON,PACKET_LOSS,MAJOR,CLEARED,MYS,Mysore
ALM001123,2025-01-08 15:14:30,2025-01-08 19:31:30,HBL-MWRLY02-ER01,Access,9,ERICSSON,DU_UNREACHABLE,CRITICAL,CLEARED,HBL,Hubli
ALM001270,2025-01-09 03:03:20,2025-01-09 05:03:20,MGR-ACC02-ER01,Access,9,ERICSSON,PTP_SYNC_LOSS,CRITICAL,CLEARED,MGR,Mangalore
ALM001232,2025-01-09 06:38:55,,MYS-ACC01-HW01,Access,9,HUAWEI,HIGH_MEMORY,WARNING,ACTIVE,MYS,Mysore
ALM001157,2025-01-10 06:14:38,,HBL-CORE01-CS01,Core,6,CISCO,HIGH_CPU,WARNING,ACKNOWLEDGED,HBL,Hubli
ALM001243,2025-01-10 10:44:59,,MGR-AGG02-NK01,Aggregation,8,NOKIA,PTP_SYNC_LOSS,CRITICAL,ACTIVE,MGR,Mangalore
ALM001160,2025-01-11 06:51:55,,MGR-METRO01-NK01,Metro,7,NOKIA,PACKET_LOSS,MAJOR,ACTIVE,MGR,Mangalore
ALM001005,2025-01-11 08:35:00,2025-01-11 11:42:00,HBL-AGG03-NK01,Aggregation,8,NOKIA,PTP_SYNC_LOSS,CRITICAL,CLEARED,HBL,Hubli
ALM001111,2025-01-12 02:34:20,,HBL-METRO01-NK01,Metro,7,NOKIA,INTERFACE_FLAP,MAJOR,ACKNOWLEDGED,HBL,Hubli
ALM001043,2025-01-13 12:02:03,,HBL-METRO01-NK01,Metro,7,NOKIA,PACKET_LOSS,MAJOR,ACTIVE,HBL,Hubli
ALM001169,2025-01-14 04:35:16,2025-01-14 08:00:16,BLR-AGG03-HW01,Aggregation,8,HUAWEI,HIGH_CPU,WARNING,CLEARED,BLR,Bangalore
ALM001061,2025-01-14 06:15:41,,MYS-ACC04-HW01,Access,9,HUAWEI,HIGH_MEMORY,WARNING,ACTIVE,MYS,Mysore
ALM001034,2025-01-15 13:19:23,,HBL-ACC02-ER01,Access,9,ERICSSON,LINK_DOWN,CRITICAL,ACKNOWLEDGED,HBL,Hubli
ALM001364,2025-01-15 20:47:11,,HBL-AGG01-HW01,Aggregation,8,HUAWEI,LINK_DOWN,CRITICAL,ACTIVE,HBL,Hubli
ALM001365,2025-01-15 20:49:11,,HBL-ACC01-HW01,Access,9,HUAWEI,PTP_SYNC_LOSS,CRITICAL,ACTIVE,HBL,Hubli
ALM001366,2025-01-15 20:49:11,,MGR-MWRLY02-ER01,Access,9,ERICSSON,PTP_SYNC_LOSS,CRITICAL,ACTIVE,MGR,Mangalore
ALM001367,2025-01-15 20:52:11,,HBL-ACC01-HW01,Access,9,HUAWEI,CELL_UNAVAILABLE,CRITICAL,ACTIVE,HBL,Hubli
ALM001368,2025-01-15 20:52:11,,HBL-ACC01-HW01,Access,9,HUAWEI,DU_UNREACHABLE,CRITICAL,ACTIVE,HBL,Hubli
ALM001369,2025-01-15 20:52:11,,MGR-MWRLY02-ER01,Access,9,ERICSSON,CELL_UNAVAILABLE,CRITICAL,ACTIVE,MGR,Mangalore
ALM001370,2025-01-15 20:52:11,,MGR-MWRLY02-ER01,Access,9,ERICSSON,DU_UNREACHABLE,CRITICAL,ACTIVE,MGR,Mangalore
ALM001172,2025-01-16 04:02:19,,MYS-CORE01-CS01,Core,6,CISCO,MEMORY_HIGH,WARNING,ACKNOWLEDGED,MYS,Mysore
ALM001173,2025-01-16 04:18:41,,MYS-ACC01-HW01,Access,9,HUAWEI,PACKET_LOSS,MAJOR,ACTIVE,MYS,Mysore
ALM001447,2025-01-16 10:04:09,,HBL-MWRLY02-ER01,Access,9,ERICSSON,PACKET_LOSS,MAJOR,ACTIVE,HBL,Hubli
ALM001448,2025-01-16 10:07:09,,HBL-MWRLY02-ER01,Access,9,ERICSSON,INTERFACE_FLAP,MAJOR,ACTIVE,HBL,Hubli
ALM001449,2025-01-16 10:12:09,,HBL-MWRLY02-ER01,Access,9,ERICSSON,LINK_DOWN,CRITICAL,ACTIVE,HBL,Hubli
ALM001126,2025-01-17 00:53:13,2025-01-17 08:52:13,BLR-MWRLY02-ER01,Access,9,ERICSSON,LINK_DOWN,CRITICAL,CLEARED,BLR,Bangalore
ALM001083,2025-01-17 01:14:17,,MYS-ACC04-HW01,Access,9,HUAWEI,PTP_SYNC_LOSS,CRITICAL,ACTIVE,MYS,Mysore
ALM001280,2025-01-17 12:11:30,2025-01-17 14:57:30,BLR-ACC06-ER01,Access,9,ERICSSON,DU_UNREACHABLE,CRITICAL,CLEARED,BLR,Bangalore
ALM001182,2025-01-18 02:01:46,,MYS-METRO02-NK01,Metro,7,NOKIA,LINK_DOWN,CRITICAL,ACKNOWLEDGED,MYS,Mysore
ALM001250,2025-01-18 07:22:32,2025-01-18 09:15:32,HBL-ACC03-ER01,Access,9,ERICSSON,LINK_DOWN,CRITICAL,CLEARED,HBL,Hubli
ALM001284,2025-01-18 18:00:03,2025-01-19 01:05:03,HBL-CORE01-CS01,Core,6,CISCO,LINK_DOWN,CRITICAL,CLEARED,HBL,Hubli
ALM001462,2025-01-19 01:51:06,,HBL-MWRLY01-ER01,Access,9,ERICSSON,PACKET_LOSS,MAJOR,ACTIVE,HBL,Hubli
ALM001463,2025-01-19 01:54:06,,HBL-MWRLY01-ER01,Access,9,ERICSSON,INTERFACE_FLAP,MAJOR,ACTIVE,HBL,Hubli
ALM001464,2025-01-19 01:59:06,,HBL-MWRLY01-ER01,Access,9,ERICSSON,LINK_DOWN,CRITICAL,ACTIVE,HBL,Hubli
ALM001181,2025-01-19 02:10:01,,BLR-ACC04-ER01,Access,9,ERICSSON,LINK_DOWN,CRITICAL,ACTIVE,BLR,Bangalore
ALM001065,2025-01-19 05:37:14,,BLR-ACC02-HW01,Access,9,HUAWEI,INTERFACE_FLAP,MAJOR,ACTIVE,BLR,Bangalore
