device_name,timestamp,device_type,hierarchy_level,vendor,alarm_count_10min,critical_count_10min,major_count_10min,severity_score_sum,unique_alarm_types,has_link_down,has_ptp_sync_loss,has_packet_loss,has_high_cpu,has_high_memory,has_interface_flap,has_cell_unavailable,has_du_unreachable,target_down,device_type_enc,vendor_enc
MGR-CORE01-CS01,2025-01-01 08:02:04,Core,6,CISCO,1,0,1,2,1,0,0,0,0,0,1,0,0,0,2,0
MGR-CORE01-CS01,2025-03-10 05:47:04,Core,6,CISCO,1,0,1,2,1,0,0,0,0,0,1,0,0,0,2,0
MGR-CORE01-CS01,2025-06-05 17:44:07,Core,6,CISCO,1,1,0,3,1,1,0,0,0,0,0,0,0,0,2,0
HBL-METRO02-NK01,2025-01-01 10:46:50,Metro,7,NOKIA,1,0,1,2,1,0,0,1,0,0,0,0,0,0,4,3
HBL-METRO02-NK01,2025-05-16 04:25:14,Metro,7,NOKIA,1,1,0,3,1,1,0,0,0,0,0,0,0,0,4,3
MYS-ACC03-ER01,2025-01-01 16:19:43,Access,9,ERICSSON,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1
MYS-ACC03-ER01,2025-03-05 14:28:24,Access,9,ERICSSON,1,1,0,3,1,0,1,0,0,0,0,0,0,1,0,1
MYS-ACC03-ER01,2025-03-05 14:31:24,Access,9,ERICSSON,3,3,0,9,3,0,1,0,0,0,0,1,1,0,0,1
MYS-ACC03-ER01,2025-03-05 14:31:24,Access,9,ERICSSON,3,3,0,9,3,0,1,0,0,0,0,1,1,0,0,1
MYS-ACC03-ER01,2025-03-30 07:43:27,Access,9,ERICSSON,1,1,0,3,1,0,1,0,0,0,0,0,0,1,0,1
MYS-ACC03-ER01,2025-03-30 07:46:27,Access,9,ERICSSON,3,3,0,9,3,0,1,0,0,0,0,1,1,0,0,1
MYS-ACC03-ER01,2025-03-30 07:46:27,Access,9,ERICSSON,3,3,0,9,3,0,1,0,0,0,0,1,1,0,0,1
