Device Name,Vendor,Device Type,Hierarchy Level,City,Region
BLR-CORE01-CS01,CISCO,Core,6,Bangalore,BLR
MYS-CORE01-CS01,CISCO,Core,6,Mysore,MYS
HBL-CORE01-CS01,CISCO,Core,6,Hubli,HBL
MGR-CORE01-CS01,CISCO,Core,6,Mangalore,MGR
BLR-METRO01-NK01,NOKIA,Metro,7,Bangalore,BLR
BLR-METRO02-NK01,NOKIA,Metro,7,Bangalore,BLR
MYS-METRO01-CS01,CISCO,Metro,7,Mysore,MYS
MYS-METRO02-NK01,NOKIA,Metro,7,Mysore,MYS
HBL-METRO01-NK01,NOKIA,Metro,7,Hubli,HBL
HBL-METRO02-NK01,NOKIA,Metro,7,Hubli,HBL
MGR-METRO01-NK01,NOKIA,Metro,7,Mangalore,MGR
MGR-METRO02-NK01,NOKIA,Metro,7,Mangalore,MGR
BLR-AGG01-NK01,NOKIA,Aggregation,8,Bangalore,BLR
BLR-AGG02-HW01,HUAWEI,Aggregation,8,Bangalore,BLR
BLR-AGG03-HW01,HUAWEI,Aggregation,8,Bangalore,BLR
MYS-AGG01-HW01,HUAWEI,Aggregation,8,Mysore,MYS
MYS-AGG02-HW01,HUAWEI,Aggregation,8,Mysore,MYS
MYS-AGG03-HW01,HUAWEI,Aggregation,8,Mysore,MYS
HBL-AGG01-HW01,HUAWEI,Aggregation,8,Hubli,HBL
HBL-AGG02-HW01,HUAWEI,Aggregation,8,Hubli,HBL
HBL-AGG03-NK01,NOKIA,Aggregation,8,Hubli,HBL
MGR-AGG01-HW01,HUAWEI,Aggregation,8,Mangalore,MGR
MGR-AGG02-NK01,NOKIA,Aggregation,8,Mangalore,MGR
MGR-AGG03-NK01,NOKIA,Aggregation,8,Mangalore,MGR
BLR-ACC01-HW01,HUAWEI,Access,9,Bangalore,BLR
BLR-ACC02-HW01,HUAWEI,Access,9,Bangalore,BLR
BLR-ACC03-NK01,NOKIA,Access,9,Bangalore,BLR
BLR-ACC04-ER01,ERICSSON,Access,9,Bangalore,BLR
BLR-ACC05-ER01,ERICSSON,Access,9,Bangalore,BLR
BLR-ACC06-ER01,ERICSSON,Access,9,Bangalore,BLR
MYS-ACC01-HW01,HUAWEI,Access,9,Mysore,MYS
MYS-ACC02-HW01,HUAWEI,Access,9,Mysore,MYS
MYS-ACC03-ER01,ERICSSON,Access,9,Mysore,MYS
MYS-ACC04-HW01,HUAWEI,Access,9,Mysore,MYS
MYS-ACC05-HW01,HUAWEI,Access,9,Mysore,MYS
MYS-ACC06-ER01,ERICSSON,Access,9,Mysore,MYS
HBL-ACC01-HW01,HUAWEI,Access,9,Hubli,HBL
HBL-ACC02-ER01,ERICSSON,Access,9,Hubli,HBL
HBL-ACC03-ER01,ERICSSON,Access,9,Hubli,HBL
HBL-ACC04-NK01,NOKIA,Access,9,Hubli,HBL
HBL-ACC05-ER01,ERICSSON,Access,9,Hubli,HBL
HBL-ACC06-HW01,HUAWEI,Access,9,Hubli,HBL
MGR-ACC01-NK01,NOKIA,Access,9,Mangalore,MGR
MGR-ACC02-ER01,ERICSSON,Access,9,Mangalore,MGR
MGR-ACC03-NK01,NOKIA,Access,9,Mangalore,MGR
MGR-ACC04-HW01,HUAWEI,Access,9,Mangalore,MGR
MGR-ACC05-ER01,ERICSSON,Access,9,Mangalore,MGR
MGR-ACC06-HW01,HUAWEI,Access,9,Mangalore,MGR
BLR-MWRLY01-ER01,ERICSSON,Access,9,Bangalore,BLR
BLR-MWRLY02-ER01,ERICSSON,Access,9,Bangalore,BLR
MYS-MWRLY01-ER01,ERICSSON,Access,9,Mysore,MYS
MYS-MWRLY02-ER01,ERICSSON,Access,9,Mysore,MYS
HBL-MWRLY01-ER01,ERICSSON,Access,9,Hubli,HBL
HBL-MWRLY02-ER01,ERICSSON,Access,9,Hubli,HBL
MGR-MWRLY01-ER01,ERICSSON,Access,9,Mangalore,MGR
MGR-MWRLY02-ER01,ERICSSON,Access,9,Mangalore,MGR
OLA_BLR_MYS_01,NOKIA,DWDM,7,Transit,BACKBONE
OLA_MYS_HBL_01,NOKIA,DWDM,7,Transit,BACKBONE
OLA_HBL_MGR_01,NOKIA,DWDM,7,Transit,BACKBONE
