Source Device,Destination Device,Source Interface,Destination Interface,Vendor,Last Update Timestamp,Source Hierarchy Level,Destination Hierarchy Level,Source Device Type,Destination Device Type,Link Type,Speed
BLR-CORE01-CS01,MYS-CORE01-CS01,HundredGigE0/0/8/1,HundredGigE0/0/4/0,CISCO,30-06-2025 02:00,6,6,Core,Core,DWDM,100G
BLR-CORE01-CS01,OLA_BLR_MYS_01,HundredGigE0/0/1/0,3/1/c4/1,CISCO,13-03-2025 14:45,6,7,Core,DWDM,DWDM,100G
OLA_BLR_MYS_01,MYS-CORE01-CS01,5/1/c2/1,HundredGigE0/0/5/1,NOKIA,29-06-2025 21:45,7,6,DWDM,Core,DWDM,100G
MYS-CORE01-CS01,HBL-CORE01-CS01,HundredGigE0/0/8/0,HundredGigE0/0/11/0,CISCO,29-04-2025 12:15,6,6,Core,Core,DWDM,100G
MYS-CORE01-CS01,OLA_MYS_HBL_01,HundredGigE0/0/0/1,3/1/c4/1,CISCO,10-03-2025 02:01,6,7,Core,DWDM,DWDM,100G
OLA_MYS_HBL_01,HBL-CORE01-CS01,10/1/c4/1,HundredGigE0/0/7/1,NOKIA,06-02-2025 08:01,7,6,DWDM,Core,DWDM,100G
HBL-CORE01-CS01,MGR-CORE01-CS01,HundredGigE0/0/8/1,HundredGigE0/0/4/1,CISCO,03-04-2025 07:01,6,6,Core,Core,DWDM,100G
HBL-CORE01-CS01,OLA_HBL_MGR_01,HundredGigE0/0/2/0,1/1/c4/1,CISCO,02-06-2025 02:29,6,7,Core,DWDM,DWDM,100G
OLA_HBL_MGR_01,MGR-CORE01-CS01,8/1/c1/1,HundredGigE0/0/4/0,NOKIA,24-06-2025 17:15,7,6,DWDM,Core,DWDM,100G
BLR-METRO01-NK01,BLR-CORE01-CS01,4/1/c2/1,HundredGigE0/0/6/1,NOKIA,01-01-2025 23:45,7,6,Metro,Core,Fiber,100G
BLR-METRO02-NK01,BLR-CORE01-CS01,2/1/c1/1,HundredGigE0/0/8/1,NOKIA,13-06-2025 16:30,7,6,Metro,Core,Fiber,100G
MYS-METRO01-CS01,MYS-CORE01-CS01,HundredGigE0/0/5/0,HundredGigE0/0/2/1,CISCO,06-05-2025 00:00,7,6,Metro,Core,Fiber,100G
MYS-METRO02-NK01,MYS-CORE01-CS01,3/1/c2/1,HundredGigE0/0/9/0,NOKIA,22-01-2025 23:29,7,6,Metro,Core,Fiber,100G
HBL-METRO01-NK01,HBL-CORE01-CS01,2/1/c4/1,HundredGigE0/0/2/0,NOKIA,09-03-2025 16:30,7,6,Metro,Core,Fiber,100G
HBL-METRO02-NK01,HBL-CORE01-CS01,8/1/c2/1,HundredGigE0/0/11/1,NOKIA,13-04-2025 21:45,7,6,Metro,Core,Fiber,100G
MGR-METRO01-NK01,MGR-CORE01-CS01,8/1/c1/1,HundredGigE0/0/7/0,NOKIA,27-02-2025 02:15,7,6,Metro,Core,Fiber,100G
MGR-METRO02-NK01,MGR-CORE01-CS01,3/1/c2/1,HundredGigE0/0/9/0,NOKIA,19-01-2025 22:45,7,6,Metro,Core,Fiber,100G
BLR-METRO01-NK01,BLR-METRO02-NK01,1/1/c3/1,1/1/c2/1,NOKIA,13-03-2025 21:29,7,7,Metro,Metro,Fiber,100G
